x,y,z
-5.13177,5.50056,4.90181
7.03109,8.58353,-3.54027
8.78397,-3.7553,-2.82192
-6.45113,-6.10666,4.2335
3.18261,5.89612,-1.49806
8.76514,-1.71772,0.94089
7.23114,2.64147,-2.66149
-3.9096,0.7444,-3.37711
6.63697,-10.8235,2.78191
-10.78594,-6.82958,4.17313
-6.57535,1.05842,-5.36555
5.019,-7.63667,-0.9202
2.29838,0.65728,-4.09018
-10.64586,-10.06269,-1.31654
-5.17985,-5.55785,1.17794
-5.53614,12.63721,1.80634
-0.99462,-7.08363,-0.47942
-7.76699,5.93308,3.83656
2.37487,-8.61887,2.16706
-6.63866,6.71277,-2.23948
1.6519,-7.2641,6.60181
6.4171,-2.9981,1.38858
5.21882,-0.52832,2.43145
5.56995,10.51134,-0.24198
-6.74064,0.6372,1.47015
2.68665,-7.32006,0.92859
2.03383,6.55314,-1.06086
11.37551,6.51494,-3.33228
5.90621,2.24278,-4.56428
8.95093,9.91622,1.52176
-1.91874,1.85174,0.79172
-2.44218,-4.99259,-4.39329
5.21353,-6.286,-5.40914
4.57815,5.88855,2.48435
0.78768,-1.30625,-7.31295
-6.00718,-3.79311,3.40249
-8.95453,5.27368,1.22058
-5.40371,5.1239,-1.33227
6.19964,-0.28943,0.80846
7.81732,-1.94048,-0.51429
8.87011,3.69196,-4.65975
4.64037,7.18343,0.7665
5.97633,3.3848,0.62492
2.8259,1.93531,6.11529
-7.52316,10.86231,0.90468
-8.53193,-5.03812,2.93575
-6.37886,1.35873,2.11689
3.46787,6.41599,-6.58209
-6.75868,0.68243,2.00464
-2.2664,-11.1896,1.87514
-3.18919,-3.87991,8.29025
5.90357,3.46317,5.76193
-6.96405,-9.85783,0.70529
-7.75641,8.70602,1.28259
7.50276,-5.69212,1.18409
5.2779,-5.09589,-0.14166
3.19728,-6.07208,-0.77107
-4.24088,-4.45035,5.90498
8.12341,-4.19759,1.68131
-2.74715,-5.9708,2.18877
-6.64681,-11.89257,0.49344
-2.03331,10.47491,2.82903
-9.01432,-2.68525,-0.9936
0.66072,-5.28618,0.70676
-7.10245,-5.60692,-0.47635
-7.83526,6.11601,-1.43008
11.05829,-11.11326,0.07426
-8.04676,8.60196,-5.93802
-3.91028,3.70115,0.45486
-3.24017,-8.48243,-0.90919
-8.05932,6.40492,-1.9394
6.30423,-1.13347,-0.14368
-8.74493,-10.43375,-8.36082
4.07662,4.87341,-2.0742
-6.49433,-5.91828,-4.74028
5.97844,-7.81961,0.206
2.55618,8.61103,1.32388
1.68054,-8.61521,-5.75954
-3.32637,7.4382,-0.87041
-9.43626,-2.20112,-0.91435
-7.84277,5.69217,-5.80448
6.00481,-5.0162,4.19592
9.2909,5.38811,-6.14849
-10.00348,-3.80879,1.13895
-3.18921,-3.05529,-4.87066
-3.96872,-2.71109,-1.90859
5.51789,-6.45593,0.94154
-8.54365,6.4317,5.07611
-6.06241,-10.93273,0.80533
-8.98474,-10.66251,-0.67586
7.81914,-6.21028,2.41316
-16.68588,-2.15905,0.78238
2.85822,-12.90452,4.24291
1.96,6.63492,5.36647
-9.92441,-4.32791,0.04934
-1.47591,1.33608,1.61476
-6.62542,-1.2089,-5.45106
-4.87262,7.95892,-2.65726
-2.88556,1.47469,-5.77857
7.62681,5.99566,-5.76717
-4.9375,11.55909,3.45539
-11.17056,-3.0676,-5.02691
5.32131,-5.02379,0.79006
9.61352,2.58335,6.15924
5.75066,5.12653,4.56802
-7.94619,9.85349,0.06649
-9.77713,-11.1448,5.20867
1.44015,-8.52512,-1.23957
7.33178,7.15328,-2.81152
10.19455,-8.52365,-0.83528
-4.81201,-1.68623,0.47649
0.3384,8.41052,1.2123
2.39412,-3.89184,3.9807
-8.15253,-3.64222,-5.14631
5.08749,-7.95151,-2.36222
-3.0544,9.78379,-0.054
8.47296,7.46305,3.19352
5.76124,-8.47013,-2.22358
4.937,-4.16733,3.06477
-4.54921,3.07227,0.2603
-1.75177,-3.24594,0.49507
-2.44333,9.00912,3.94273
4.64661,-7.27691,-1.66856
-5.7527,-5.98956,2.42571
-10.91353,-4.12799,4.18875
-3.40277,-1.08736,3.59614
1.5571,-6.00659,-4.04879
7.34837,5.29016,-3.00286
5.93096,6.73355,-0.59373
2.27964,-11.98787,-2.93416
9.26798,-0.43945,0.30795
-4.63942,4.14899,4.09619
-1.5131,-6.70517,0.49793
-4.44016,5.02921,-2.15199
-8.00401,4.21007,1.87415
9.65965,-1.94327,0.62407
-6.19628,-7.27667,0.0858
5.3238,-6.46769,-0.5922
4.68625,-6.28067,4.75525
8.12041,-5.8542,-1.44849
-6.71781,-6.65311,0.08194
-4.36981,-1.42312,-1.43233
9.91408,-6.70283,4.87802
5.83628,5.02921,6.75735
-4.82725,-7.0742,-4.86112
1.39525,-10.50276,3.74564
-4.80939,-1.59609,4.6199
-6.9864,-3.46984,0.38057
11.6442,-5.01498,4.44894
-1.94934,3.63276,0.49434
7.37524,8.08602,-1.03733
7.72802,-10.93894,0.63096
-8.05437,-4.33363,4.58585
6.61562,6.40658,0.91429
-7.4411,-1.8722,6.08542
7.5571,-2.81403,1.5767
-9.08718,7.15667,-3.28416
2.83854,-4.83445,3.08524
-6.18197,0.28937,6.56
9.44386,-6.94941,-5.43101
8.44208,-3.02603,-5.51734
6.50786,7.78271,4.02577
-3.84093,-5.56893,-3.12038
7.40543,-6.09785,-2.50631
5.3742,-2.8619,2.83111
-3.95399,-6.785,-0.47052
-4.33796,-6.43837,-0.81462
0.22755,-4.60616,-0.06993
4.54343,8.08581,-1.4682
4.88032,-1.30545,1.13091
9.55946,-12.2174,-1.0475
-5.59513,11.83784,0.45056
10.58495,-4.0319,1.29343
-6.7526,7.62251,-3.76707
-11.11526,3.7184,-0.79816
-3.94429,1.0711,1.24427
-2.28963,-3.44519,0.37384
4.40131,-5.42677,-4.14424
5.0773,-1.6599,4.50865
-5.41834,7.93798,-3.97766
8.33259,5.41283,-2.14831
-5.05257,-13.42141,1.37484
4.65953,-8.99595,3.87422
0.84307,-8.05013,-0.94211
-5.07778,3.90322,7.85494
-4.50751,-3.49392,-3.61741
8.56942,5.90851,3.08013
7.5373,-8.44813,0.92003
2.97431,-6.39177,-0.0226
7.30779,2.87483,-0.32821
-7.6512,5.89741,-3.62558
8.02602,4.32175,0.4074
4.6403,0.37128,-6.06297
4.16854,2.69719,1.05992
3.79423,7.2133,-0.64482
1.60074,1.88933,-3.16905
8.05395,-10.35665,0.1837
-3.25638,-3.06065,1.50686
-3.93585,11.08827,0.40933
0.59809,5.086,-1.13435
13.61726,10.75484,-5.82661
-4.79003,-3.11719,0.81593
-6.25112,6.4436,-3.88955
7.71574,-2.0903,-3.32111
7.47309,7.53826,-1.47748
5.20118,-5.2857,-1.61823
14.50053,-4.88779,4.21777
-9.37998,-9.18722,8.24278
6.82872,-2.20049,-1.13543
-6.59234,-3.67735,0.56986
-5.67408,-4.83022,2.03324
-10.70429,-9.78734,1.96997
-7.35373,7.4581,0.15056
-8.25699,-1.60764,0.78014
3.98275,-6.99322,-1.83152
4.70117,8.58642,2.69758
-6.48731,9.48656,1.90183
-8.28366,-6.92665,3.27686
-7.44721,8.50288,0.44417
-3.75505,-4.13409,1.15598
-4.36547,-13.36942,0.70559
8.43453,2.52532,0.56835
4.65878,7.96928,2.53961
-5.65019,-2.59618,0.53686
-1.89299,-8.0194,-2.69905
-6.66888,-6.52424,0.40192
8.44375,9.10554,0.23147
-9.11898,-3.91732,0.75423
-2.45621,5.81604,4.30718
6.73018,13.94698,-1.3053
-3.25404,-1.48936,3.50304
7.00304,-6.0888,-0.29668
-9.26544,0.87591,1.32588
9.95413,-7.47097,-3.16831
5.52591,-3.18894,2.35366
8.82047,13.59781,-5.06122
-5.07847,5.74999,0.39435
7.3828,6.74071,-7.80394
-4.20736,-10.65466,6.09169
3.62444,-10.49795,0.48461
7.69442,7.57902,-1.56481
5.86532,-6.79887,-2.55672
6.7983,-7.25123,1.67836
10.50266,-1.83131,-1.95528
9.05692,-0.13774,-2.38365
-14.22533,-5.78017,-2.32585
-4.95894,7.40399,-4.6777
1.88702,-2.55781,1.0386
2.57905,9.104,1.00465
-10.14099,-5.63481,-0.96211
-6.81048,-7.62823,0.82014
4.74139,-4.10304,6.13598
-6.96182,6.89649,-2.48812
8.88839,-7.2586,-2.17548
-5.41533,-8.33554,-7.44648
-1.96586,-8.73054,4.05051
6.51791,2.22412,-1.00026
-9.462,-6.46019,2.77399
5.7542,4.69469,0.02648
-5.46965,5.89509,0.49494
0.21593,-0.54787,1.17115
8.85438,1.52767,-2.39794
-8.78147,5.25076,-3.12525
-10.18516,-7.08116,-5.29173
-6.15366,1.33115,1.48877
5.53594,8.82353,-2.2566
-3.34087,9.16126,-5.09633
6.86699,-5.22773,-2.32921
-7.01563,14.05821,-0.61105
4.47045,-10.78011,-3.77849
-4.16238,7.09679,1.43205
4.82005,-6.63997,6.82498
7.18064,4.11916,-1.86592
7.7632,-5.84787,3.89012
7.93186,8.27823,1.99289
-8.3677,-13.16815,0.77328
6.01432,6.24948,0.86227
-3.81183,-5.9284,-0.37075
6.90298,-5.2804,-2.15978
6.67583,0.72937,0.62725
-7.13139,-10.0015,1.92365
-3.28987,-7.55394,5.00271
-5.43373,-5.2947,0.46356
4.24543,-4.84776,2.03503
-5.65558,3.4726,0.77953
-4.2471,9.5702,-1.7644
-8.17813,-1.59916,-4.95938
-3.3418,4.83041,1.06241
-7.51072,0.51767,-0.1572
-6.54898,-5.22565,0.66502
7.07377,8.83238,1.27812
5.41337,-4.80512,-2.06685
10.22787,-2.71359,-1.0668
-11.24637,5.81605,-3.58534
-4.66791,2.1726,-3.71899
-5.07436,-13.62691,-0.74302
6.92395,-2.9204,2.22199
-8.79995,5.91936,-2.84817
-4.1956,6.28695,2.38436
6.78284,-11.51987,-7.4492
7.43216,-6.34831,-1.26921
-8.62518,-2.92272,2.02351
-5.69875,11.10968,-1.60737
-6.62655,-2.36644,2.17553
-1.57569,2.07433,-0.65153
7.77603,-2.25832,2.04979
7.35115,16.03025,1.52707
5.35266,-3.25031,1.76299
3.19658,-5.98613,-4.69381
9.64559,-8.12965,2.93372
-8.12994,-3.4204,0.78826
2.1868,-6.20384,4.69398
3.95984,12.76143,1.42979
3.99187,8.95469,1.14309
0.13324,4.26902,3.94045
1.36523,5.61313,1.21486
5.92412,-6.29785,1.35129
3.19304,-1.57115,0.28826
7.97381,-8.29053,0.4711
10.13093,7.47328,-0.21716
-6.75654,-6.40529,1.19359
9.4699,5.72618,1.12267
-5.77755,7.28963,-3.12727
-5.97519,0.79027,2.03302
-4.56534,9.79352,4.87057
-2.01653,-2.62682,2.5089
-4.75204,-7.60922,-4.18838
6.15542,1.76663,0.19511
-9.50786,8.38435,0.39211
-8.99179,-9.26824,-4.08951
4.49472,4.70916,1.76184
6.177,7.03231,-1.83333
6.4162,-9.77557,-4.28155
4.92749,-9.73732,0.3484
6.09969,-3.45901,-1.45417
9.29824,8.55449,1.0865
4.78272,6.46007,-0.57615
8.41087,6.10235,-0.4952
5.52225,-4.42429,-2.96486
7.38405,5.21204,0.29584
4.41992,-2.0099,-0.75074
-6.3983,-4.94818,2.8194
7.88306,7.09017,-7.92187
1.32269,3.79164,-4.93152
3.24308,-5.78882,-2.09668
-5.07593,7.79178,-4.24614
6.38889,-1.78106,1.68497
4.33956,6.95233,-1.28814
8.46545,3.68036,0.97466
-8.03325,-3.09276,-0.98992
-9.00424,4.04308,6.80386
7.48092,-5.21342,0.41758
3.66415,7.48079,0.47819
1.08014,6.12866,-0.2788
-4.99965,0.0908,0.80594
-5.45636,-7.3064,-0.69136
2.15325,-8.2062,-1.38448
-5.54606,0.487,2.60064
5.33286,4.69859,0.94694
-6.91711,-12.14203,-1.92509
8.70424,-2.76327,1.89468
-4.95665,6.81235,0.34544
10.32363,-5.24457,-0.04529
5.06318,-1.14913,-0.79128
9.37267,-5.17327,2.20692
-9.31684,-5.43796,0.62613
-5.69295,-6.21071,-2.72293
-7.90157,-8.22192,-1.15969
4.45359,-7.02761,0.91137
-8.46637,7.67521,-0.74507
-6.48544,7.79269,1.467
10.03492,5.15981,2.48239
5.93648,-5.40111,8.59555
-3.9054,10.45667,-3.574
9.59228,8.02022,-8.10153
-4.29738,3.77722,1.48126
9.22291,10.48002,-1.08892
4.76041,6.46378,1.73584
0.52094,9.7768,-2.80527
-4.1352,6.57846,-1.86825
-6.77136,3.42286,-1.58303
-3.4893,4.74514,-0.64462
4.7486,-6.21364,1.31259
-2.58694,3.29688,3.06027
-8.56627,7.90245,2.19444
-5.569,8.97761,-3.91093
-5.44839,-4.83599,-2.26256
13.4381,9.45562,-0.92314
-1.18989,10.33784,3.09736
-5.1427,-5.62307,-0.90082
-3.99603,-8.78689,3.15105
11.94242,-0.18219,0.73852
-3.4797,-5.48437,-0.55519
4.7419,-10.66441,-3.48966
-3.07317,-8.04259,2.27051
-0.82497,10.93539,-1.64986
-8.97719,9.17661,4.74787
-1.69106,8.7442,-0.30341
-3.67709,-8.24505,-2.75267
-6.0665,3.93736,1.21659
3.41406,-6.2365,1.07607
-2.03816,8.63606,-5.79305
4.76342,-2.26865,-5.5111
5.52039,10.13112,1.24953
-3.68872,-3.83774,-1.24046
-6.27996,4.17532,1.51449
6.58435,10.08474,-0.69513
10.68438,-7.40702,-4.60296
7.7326,8.3285,-3.0369
12.19942,3.78606,0.30086
10.90363,-2.49945,0.82991
-9.9126,-4.31953,-5.24678
2.20255,-4.68551,-1.18716
-1.09892,10.09304,-1.49073
-5.18104,5.658,1.78569
-9.1411,5.30577,4.71061
7.15317,-3.45288,-3.57415
6.04149,9.30901,-0.40402
6.02346,-8.82092,-2.45286
9.49984,0.63782,-3.06726
-7.05314,4.95416,2.4156
4.19882,5.5837,3.57379
-11.90301,-8.05341,-1.3232
-3.75929,1.12814,1.38983
7.13467,8.95615,-0.10344
0.07269,4.54549,0.86471
3.91982,-6.2673,0.44954
11.23569,-9.92607,6.16805
-1.37929,8.24312,-2.41406
11.26764,-15.34954,-1.98861
10.76586,-5.24773,-6.88628
0.63088,-8.71961,2.61175
5.18945,3.82659,0.33676
5.94992,-7.03446,-2.26921
5.43513,-8.75439,4.98294
-2.9882,-6.83943,-3.47423
-10.81344,8.56599,1.18539
7.01084,-0.953,-1.67786
-2.18882,-2.70512,3.02556
-8.45757,-5.44837,2.40639
7.34845,-6.39928,-2.58481
-5.4286,-1.01444,-3.2989
7.69907,6.3473,-1.30335
-8.33287,-3.50278,-2.31885
9.74764,4.66738,-1.12332
-6.0274,7.61052,-1.06546
-4.74119,-3.26643,2.71778
7.15763,0.18028,0.89421
-7.61466,1.57883,-0.4852
-9.27973,11.5238,0.75431
-5.42484,9.32632,-2.12586
9.66271,-9.53865,2.86509
0.40835,-5.03162,2.22313
5.61969,3.90503,-5.5385
8.23149,-3.6953,-0.10439
-1.80185,-9.21745,4.76027
-3.80377,-11.86452,-2.85999
-3.85167,-3.46239,0.18922
-5.62458,4.9239,-1.9929
6.70197,10.1269,0.03527
-6.22027,-7.39325,2.5426
7.52751,4.99754,-1.84295
7.57568,0.95186,2.16551
6.19299,5.12385,-0.9154
-10.01801,9.716,0.13015
1.99399,5.25655,3.03073
2.10134,-1.39276,2.34037
5.82916,-1.73395,-1.76074
-6.89194,-6.61209,1.60257
2.78439,8.54199,0.14338
0.95768,-9.04936,-0.20808
1.36351,6.96211,-2.06859
6.41638,4.51483,-1.12063
-6.77234,-7.02674,2.02321
4.97358,-7.92195,2.18552
5.7238,-11.42379,-3.77478
-6.36107,7.42491,0.71777
5.90897,3.01179,-2.3333
7.33424,6.73725,0.3274
8.95973,8.6933,-2.82258
-9.30815,-7.82604,1.2538
6.01927,-8.66093,-0.25588
-9.83097,-4.1081,-3.40752
-6.14753,7.04073,-2.53099
7.76989,-4.86028,-4.5209
8.82501,2.57025,0.74858
-3.91066,5.65248,1.41044
0.72405,1.09072,-1.08684
-8.11484,-4.75142,1.13319
8.41553,-9.39321,3.38083
-8.12026,-8.30114,1.71062
-2.8649,3.39483,-2.71555
6.88081,-9.60944,-3.27163
6.23104,-2.49479,-2.19509
7.31279,8.92003,2.12404
-7.46841,-1.49131,-1.07317
6.83004,6.40546,4.16265
7.48409,13.25406,3.40861
6.40656,4.23458,-3.16508
6.84211,5.31197,0.7625
-4.90775,-2.86388,0.11967
-8.16217,1.76115,4.08758
2.93279,-5.15446,6.56678
-5.15978,9.19491,-3.26006
2.12657,-14.46238,-0.85392
-6.40317,-2.21396,4.05366
1.57241,5.97887,-2.70277
-3.87883,7.67536,-0.93123
4.27951,10.1958,4.32576
-0.12309,0.64044,-3.79012
-8.38894,-5.18167,2.08304
9.71776,8.74191,1.69641
-2.64152,-2.59561,-3.59076
-1.16388,-8.25249,1.84834
-7.87411,5.453,2.02189
3.62309,3.13237,-3.46464
3.72441,4.90159,-1.26596
-3.77057,-10.04758,-3.54791
3.56967,-5.21858,0.15682
-7.0823,-10.94187,3.66965
-7.08216,-10.04716,0.90104
8.55842,-10.88698,-4.74759
-8.98284,8.57053,-1.15974
-3.76959,6.03755,-2.96982
5.46605,5.67295,5.0437
-6.00965,5.717,0.1257
9.60677,-7.05293,1.47153
7.11809,5.7226,-0.92455
2.4871,4.78972,0.79348
6.1895,-7.54711,-1.86318
10.43209,7.36837,5.42561
5.36282,-4.19008,-1.28783
-10.93269,-3.41296,1.45927
-3.89086,7.22064,-3.55181
3.19368,3.79077,-4.14617
6.29795,4.44654,0.50217
-2.95735,8.71276,-1.00939
6.58193,3.87309,7.31224
10.21904,-4.45902,-1.09685
6.51711,2.98766,-0.57431
2.52725,-3.96442,-3.48747
8.34032,-9.84717,-0.91607
-4.40661,4.38001,-1.77032
-3.75503,7.22603,-4.09858
-5.23224,-12.61926,-0.24058
9.82804,-8.57567,2.03324
-4.85792,4.04208,-5.60381
6.15485,0.20018,3.54443
2.89331,-8.36551,0.95875
-5.04141,-3.86958,-2.73467
-7.6172,7.42368,-0.10191
-5.97372,-3.3255,-2.02645
5.75499,7.99772,1.87371
-3.40784,-8.02764,1.94712
6.44675,8.86319,4.34622
1.73444,7.99065,-1.59652
-6.13528,-10.66526,0.47596
7.3637,-9.10169,-2.33614
3.10388,5.86043,0.70145
-2.95077,14.55154,-1.74597
-5.02657,-7.72648,2.93015
7.36319,6.49539,0.40769
-1.12354,6.51993,-5.79726
3.23475,8.67024,4.34278
5.82234,-4.72946,-0.66054
-1.66823,7.58731,0.65231
-4.37184,-5.63724,1.36004
-5.51468,-4.71832,-0.83832
12.58572,-7.8986,-3.26947
-12.05504,6.40534,4.19822
-3.64713,-10.73798,3.09102
10.37027,8.12252,4.99363
8.21215,5.91746,0.1132
9.23836,4.15247,-2.18466
6.64979,-3.48313,0.99774
-4.971,-10.76149,4.64548
7.54881,-0.89097,-1.41707
7.46092,6.45259,2.26587
-4.37267,2.21615,-3.86713
9.34877,-4.63198,3.92869
1.96229,3.62201,1.58307
-5.80108,3.42395,-0.8363
-3.83365,7.124,4.66861
5.78239,-7.51723,-1.35683
9.28957,6.11405,-2.42489
-3.27392,0.96687,-0.99138
-11.64827,-8.2526,-1.70989
7.93706,4.76099,2.33272
6.87677,-2.52266,-0.11338
-0.02604,-6.18734,2.91191
5.81235,6.17683,-1.08913
-5.55516,-6.92623,-2.49613
5.38023,-5.01713,2.59281
-0.40451,-8.81535,2.67135
2.83447,-7.21564,-1.74235
-9.21034,-6.25435,4.63022
-9.46108,-3.24908,-0.55602
5.8402,7.66861,0.19325
-3.22102,-0.94377,3.64422
-1.96466,6.60389,-3.36467
-3.79765,5.071,1.19733
-13.06451,-7.33622,-1.42544
7.56549,3.82831,3.07773
-8.48713,-7.46583,-7.69774
5.00259,-4.94793,-0.84689
-6.66033,7.23525,-2.69286
3.5754,-9.52646,-1.63455
2.74173,-12.80115,2.55502
3.69505,7.24266,-1.64742
-2.19275,-8.34867,-6.82418
-3.53421,-3.16924,1.83436
-7.53062,-1.48913,3.89114
-5.01231,-4.98989,-2.72104
-4.667,9.43283,0.92199
7.3932,-7.63873,-1.17331
-3.1403,-5.6054,-1.79603
-7.43628,6.97071,7.06917
-5.00366,4.60246,0.2511
-4.94714,-10.43454,-0.17348
-10.09167,4.56407,4.24569
4.45625,7.37605,-2.3514
11.15738,-0.38479,0.91551
5.57564,-5.24474,0.12404
-8.16824,12.33263,1.2647
6.88164,-5.64074,-1.47544
-6.2179,-7.60276,-2.26822
-5.3769,6.28285,0.44205
-5.47267,9.28847,-0.59791
5.90722,-2.8743,-8.21229
-9.10902,2.16794,-2.06111
1.64381,-3.77679,-0.93872
-5.04445,6.78983,-3.92869
-1.09208,6.9385,-6.32246
2.17166,6.96679,-3.27107
5.21846,6.76749,-1.50718
5.54692,-4.75551,-3.43692
-7.35338,-4.56371,4.07034
8.88616,-4.35533,-1.63505
-4.52483,7.09024,-1.54651
10.15275,-7.62954,-2.46602
-7.41592,7.31624,-2.18341
-0.70892,12.62586,0.00121
-7.47939,-1.26722,4.4462
-5.50577,-2.51015,2.07102
3.62272,6.68002,4.7924
-4.63677,9.58085,0.3926
-8.60567,-4.02615,0.01169
-7.95727,8.49854,-0.61856
-5.65458,-6.24721,-0.45676
3.89279,3.92756,1.58618
-6.69927,-2.95421,2.21875
9.69167,-8.16959,-0.49387
11.00151,3.35222,2.55488
12.69182,-6.61955,-2.47111
-7.88125,4.79901,-0.30835
-3.58647,-7.96711,-1.7746
7.71782,-0.77283,2.62344
-0.90918,-10.93487,-4.46283
-1.37926,-0.6337,-2.12646
-3.47416,10.87178,5.53163
3.05886,7.59679,-4.06488
-9.51398,9.9359,-1.0872
7.28162,6.12925,-3.68882
7.83544,4.27258,-1.37156
-3.97771,7.87602,-1.19846
3.94828,3.55495,-0.29246
-5.49591,7.24866,0.11077
3.46757,3.77014,3.66252
-9.97564,-5.32881,-3.37815
-4.03276,6.66051,-2.26386
8.23167,-8.04237,-3.77467
-7.66532,5.17816,0.13082
2.15465,-3.71844,-0.71745
-5.57798,-9.5617,0.71158
7.91823,10.07621,2.11016
-4.76965,-4.61657,1.25319
-8.82344,8.28193,-5.7623
6.39424,9.59467,0.02129
5.23145,-5.8279,4.52639
-4.65903,5.02132,-4.33273
6.50685,-8.40327,-0.18051
7.57527,7.25676,-1.70013
0.75455,5.16593,-4.68262
13.82336,-3.96206,-2.46253
-7.75763,9.96952,1.50465
-9.47674,7.39737,1.66117
7.22033,-2.4461,2.64714
-0.40902,6.41938,2.46685
-4.0901,-6.76329,-0.91968
4.90889,-3.27814,1.84244
10.26528,-4.79335,-1.9024
1.734,-8.97974,0.18765
2.65407,11.23748,-3.29577
-7.09401,8.93948,-7.20031
-12.78585,11.48933,0.67168
-7.03692,3.75205,-3.50482
10.36864,-4.60473,-5.28694
7.60967,-4.1293,-1.47758
6.65276,9.00018,1.41842
-7.52576,6.37044,-5.03028
-8.46943,3.23891,-0.89109
5.76675,0.1746,1.09727
-7.25109,-5.4794,0.63102
9.95088,1.4134,-5.52968
9.59311,9.4637,2.83192
-2.90284,10.76445,-3.05052
4.68719,2.33333,-4.33805
5.61021,-5.81761,4.36083
-2.3897,-9.24104,0.19565
-9.68825,4.30088,5.17984
11.27006,-6.83727,5.94651
-5.10256,-2.60543,0.66845
3.54556,6.43593,-2.73231
-4.23049,4.51646,0.88668
-4.78714,-0.99665,-3.28098
-3.40011,-9.88498,-1.88621
8.07807,-7.88088,5.08233
-3.87821,-4.83467,-0.04119
-0.6826,4.26635,7.95096
-10.31388,5.10093,-0.9226
4.08247,-3.73264,7.40137
-1.16752,-0.27716,-0.39454
-7.99542,0.63951,-1.61283
7.90606,-3.12527,-2.90152
9.86456,3.39111,-1.47144
-1.16342,1.64548,-0.08673
7.90476,7.83884,-4.7402
-5.71939,9.3294,3.04849
12.56362,8.34472,0.86403
-5.75021,-6.06004,4.47096
-4.20135,7.44045,-5.46802
11.37665,2.69968,-0.22039
3.08937,8.35102,-1.97207
3.27336,5.37293,4.25307
-0.30655,0.2754,-2.06233
2.55644,9.48211,-0.47985
2.37409,-6.18927,2.3183
